
word	wordFrequency--------
safety               198              
board               90              
motor               58              
resources               57              
partners               53              
training               52              
inclusion               45              
risk               43              
accidents               37              
guidelines               36              
overseas               35              
women               34              
remuneration               33              
supply               32              
supervisory               30              
mobility               30              
dealers               28              
migrant               25              
technical               25              
supplier               23              
principles               22              
evaluation               22              
every               22              
personnel               22              
order               22              
female               21              
participation               21              
responsible               21              
childcare               21              
car               21              
overview               20              
improvement               20              
senior               19              
over               19              
basic               19              
p               19              
▼               19              
◦               18              
recruitment               18              
feedback               18              
cars               18              
purchasing               17              
organization               17              
technologies               17              
regarding               17              
survey               17              
appropriate               17              
due               17              
function               17              
following               16              
positions               16              
promotion               16              
cobalt               16              
toyoda               16              
knowledge               16              
concept               16              
center               16              
may               16              
implementation               16              
etc               15              
sourcing               15              
chief               15              
relevant               15              
available               15              
right               15              
workplaces               15              
association               14              
march               14              
implementing               14              
relationships               14              
actions               14              
implemented               13              
covid19               13              
satisfaction               13              
reported               13              
sdgs               13              
main               13              
mutual               13              
labormanagement               13              
close               13              
experience               13              
concerns               13              
minerals               13              
if               13              
book               12              
cases               12              
lgbt               12              
regional               12              
automobile               12              
opinions               12              
changes               12              
improving               12              
parking               12              
there               12              
national               12              
day               12              
onsite               12              
companywide               12              
needed               12              
allow               12              
