
word	wordFrequency--------
safety               129              
training               69              
power               53              
overseas               49              
resources               35              
csr               33              
supply               32              
accidents               29              
personnel               23              
biopet               22              
ltd               21              
risk               18              
goto               16              
promotion               16              
businesses               15              
automobile               15              
states               15              
processing               14              
head               14              
japanese               14              
operating               14              
responsible               13              
iso               13              
united               13              
tokyo               12              
organization               12              
manufacturers               12              
i               11              
team               11              
guidelines               10              
dream               10              
kinki               10              
basic               10              
kenya               10              
holdings               10              
manager               10              
improvement               9              
erm               9              
nagoya               8              
thailand               8              
africa               8              
eurus               8              
california               8              
administrative               8              
march               7              
behavioral               7              
furthermore               7              
conference               7              
india               7              
supervisor               7              
council               7              
branch               7              
great               6              
representative               6              
april               6              
june               6              
china               6              
toyotsu               6              
african               6              
managing               6              
august               6              
pet               6              
prefecture               6              
h               6              
board               6              
east               5              
offices               5              
osaka               5              
earthquake               5              
accordingly               5              
principles               5              
gas               5              
metals               5              
smelting               5              
vietnam               5              
month               5              
center               5              
top               5              
award               5              
personal               5              
kw               5              
supporting               5              
taiwan               5              
biomeg               5              
clean               5              
os               5              
conventions               5              
workshop               5              
director               5              
rotation               5              
commendation               5              
nonconsolidated               5              
participants               5              
chief               5              
hong               5              
kong               5              
branches               4              
tohoku               4              
deliver               4              
ethics               4              
