
word	wordFrequency--------
safety               132              
training               82              
csr               72              
resources               52              
overseas               47              
risk               44              
africa               38              
cfao               31              
medical               27              
india               27              
chemical               25              
hospital               24              
japanese               24              
personnel               23              
promotion               23              
guidelines               22              
mobility               22              
equipment               22              
lithium               20              
power               20              
china               19              
april               18              
supply               18              
order               18              
charging               17              
manager               17              
accidents               17              
model               16              
kaizen               16              
iso               16              
ev               15              
basic               15              
there               15              
organization               15              
gas               15              
operating               15              
offices               14              
nagoya               14              
rules               14              
assessment               14              
tests               13              
tokyo               13              
ltd               13              
projects               13              
erm               13              
sites               13              
inspections               13              
courses               13              
board               13              
automotive               12              
ratio               12              
administrative               12              
conference               12              
fy               12              
crisis               12              
female               12              
nextgeneration               11              
field               11              
alliance               11              
consumer               11              
batteries               11              
thailand               11              
continuous               11              
electronics               11              
team               11              
participants               11              
substances               11              
law               11              
head               10              
ceo               10              
domains               10              
domain               10              
behavioral               10              
asian               10              
serious               10              
supplier               10              
ministry               10              
along               10              
confirm               10              
chief               10              
council               10              
event               10              
appropriate               9              
relations               9              
partners               9              
responsible               9              
goods               9              
infrastructure               9              
singapore               9              
december               9              
large               9              
entire               9              
operation               9              
disposal               9              
evs               9              
domestic               9              
following               9              
supervisor               9              
comply               9              
center               9              
